file,span_index,word_count,is_valid_span,skip_reason,speaker,speaker_source,context_chain_length,regex_candidate,regex_verb,regex_distance,nlp_candidate,nlp_verb,nlp_lemma,nlp_distance,candidate_disagreement,attribution_distance,speaker_quality_flags,candidate_verbs,original
CaterinaSapiente-Calvino.txt,1,3,True,,Sconosciuto,unknown,0,,,,,,,,False,,,venne:venire|succedeva:succedere|aveva:avere|vedendo:vedere|chiamava:chiamare|studiare:studiare|leggere:leggere|era:essere|morì:morire|provò:provare,"""Caterina la Sapiente"""
CaterinaSapiente-Calvino.txt,2,41,True,,Il Consiglio,regex,0,Il Consiglio,rispose,191,,,,,False,191,,pensò:pensare|tenere:tenere|Chiamò:chiamò|aveva:avere|sapete:sapere|ho:avere|morta:morire|chiusa:chiudere|vuole:volere|nominata:nominare|facendo:fare|studiare:studiare,"Signori, voi sapete che ho una figlia che è la pupilla dei miei occhi. Ma da che è morta sua madre, sta chiusa in casa come un gatto, e non vuole metter fuori neanche la punta del naso.

Il Consiglio rispose:"
CaterinaSapiente-Calvino.txt,3,33,True,,Il Consiglio,context,1,,,,,,,,False,,,nominata:nominare|facendo:fare|studiare:studiare|togliere:togliere|piace:piacere|Chiamò:chiamare|visto:vedere|vuoi:volere|pensato:pensare|aprire:aprire|sarai:saere|piace?</sp:piace?</sp|mise:mettere|dirigere:dirigere|andare:andare|studiare:studiare,"L'idea mi piace, - disse il padre. Chiamò la figlia. - Sentì, figlia mia, visto che non vuoi nessuna distrazione, ho pensato di aprire un collegio, e tu ne sarai padrona. Ti piace?"
CaterinaSapiente-Calvino.txt,4,5,True,,Il Consiglio,context,2,,,,,,,,False,,,vennero:venire|faceva:fare|sedere:sedere|fa:fare|sedere:sedere|viene:venire|macina:macina|cominciò:cominciare,Ma quello è un carbonaio!
CaterinaSapiente-Calvino.txt,5,12,True,,Il Consiglio,context,3,,,,,,,,False,,,sposare:sposare|sposare:sposare|mangia:mangiare|chiamare:chiamare|va:andare|incapricciato:incapricciare|fare:fare|Sposiamoli.</sp:sposiamoli.</sp|volete:volere|fa:fare|vuole:volere,Alzati! Mio figlio s'è incapricciato di tua figlia. Cosa dobbiamo fare? Sposiamoli.
CaterinaSapiente-Calvino.txt,6,13,True,,Il Consiglio,context,4,,,,,,,,False,,,va:andare|incapricciato:incapricciare|fare:fare|Sposiamoli.</sp:sposiamoli.</sp|volete:volere|fa:fare|vuole:volere|tornò:tornare|è:essere|vuole:volere|dici:dici,"Come volete, Maestà. Ma io sono mercante e vostro figlio è sangue reale."
CaterinaSapiente-Calvino.txt,7,9,True,,Il Consiglio,context,5,,,,,,,,False,,,incapricciato:incapricciare|fare:fare|Sposiamoli.</sp:sposiamoli.</sp|volete:volere|fa:fare|vuole:volere|tornò:tornare|è:essere|vuole:volere|dici:dici,Non fa niente: è mio figlio che la vuole...
CaterinaSapiente-Calvino.txt,8,3,True,,Il Consiglio,context,6,,,,,,,,False,,,fa:fare|vuole:volere|tornò:tornare|è:essere|vuole:volere|dici:dici|mancava:mancare,Io lo piglio.
CaterinaSapiente-Calvino.txt,9,16,True,,la Regina,regex,0,la Regina,disse,97,Regina,disse,dire,97,True,97,contains_pronoun,sposarono:sposare|andare:andare|spogliare:spogliare|metterla:metterla|dormire:dormire|è:essere|spogli:spogli|vesta:vesta|ricordi:ricordare|dato:dare|volete:volere,"Non c'è bisogno di gente che spogli né che vesta, né di guardie dietro la porta."
CaterinaSapiente-Calvino.txt,10,12,True,,il Reuzzo,regex,0,il Reuzzo,disse,141,,,,,False,141,,è:essere|spogli:spogli|vesta:vesta|ricordi:ricordare|dato:dare|volete:volere|vuoi:volere,"Caterina, ti ricordi di quel manrovescio che m'hai dato? Ti sei pentita?"
CaterinaSapiente-Calvino.txt,11,4,True,,le,regex,0,le,disse,131,,,,,False,131,lowercase_only|contains_pronoun|single_lowercase_token,ricordi:ricordare|dato:dare|volete:volere|vuoi:volere|pensa?</sp:pensa?</sp|faccio:fare|vedere:vedere|comincia:cominciare|preparare:preparare,Come? Non sei pentita?
CaterinaSapiente-Calvino.txt,12,3,True,,le,context,1,,,,,,,,False,,lowercase_only|contains_pronoun|single_lowercase_token,ricordi:ricordare|dato:dare|volete:volere|vuoi:volere|pensa?</sp:pensa?</sp|faccio:fare|vedere:vedere|comincia:cominciare|preparare:preparare|calarla:calare la,Manco per sogno.
